geometry,objectid,pop_id,location,geo_address,description,image_,image_alt_text,longitude,latitude,status,thumb_url,image_url,photo_credit,ward,ward_and_num,globalid
"{""type"":""Point"",""coordinates"":[-79.38386582999999,43.67131040000004]}",1,1,120 Bloor Street East,120 Bloor St E,"A 3,500 m2 parkette located at Bloor Street East and Church Street.",120bloorsteeteast.jpg,Image of a concrete pathway between a concrete wall and a metal fence with lush plants and trees on either side.,-79.38386582999999,43.6713104,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/SAM_1765.JPG,/ext/pln/pops/120bloorsteeteast.jpg,,University-Rosedale,University-Rosedale (11),a5a75ac3-5cd7-4baa-b18e-11ee3effe52c
"{""type"":""Point"",""coordinates"":[-79.38231932999997,43.67246092000005]}",2,2,200 Bloor Street East,200 Bloor St E,A 400 m2  parkette located on Bloor Street East near Church Street.,200bloorstreeteast.jpg,"Image of concrete walkways within a landscaped parkette including planting beds with perennials, grasses and trees with a glass pavillion. ",-79.38231933,43.672460920000006,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/SAM_1788.JPG,/ext/pln/pops/200bloorstreeteast.jpg,,University-Rosedale,University-Rosedale (11),42ea0896-7e80-497f-9474-80eeb492c930
"{""type"":""Point"",""coordinates"":[-79.3765874,43.647568250000006]}",3,3,33 Yonge Street,33 Yonge St,Combined 850 m2 plaza with landscaping and seating.,33yongestreet.jpg,"Image of entrance to office building, with a concrete pillars and glass-paneled front entrance.",-79.37658739999999,43.64756825,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/SAM_2099.JPG,/ext/pln/pops/33yongestreet.jpg,,Toronto Centre,Toronto Centre (13),73847496-595f-456b-843a-61b1bc438486
"{""type"":""Point"",""coordinates"":[-79.39336807999996,43.67214246000003]}",4,4,41 Hazelton Avenue,41 Hazelton Ave,A mid-block pedestrian connection located at Hazelton Avenue near Yorkville Avenue.,41hazeltonavenue.jpg,Image of the front of 41 Hazelton Avenue.  Three-storey building with mixed brick exterior.,-79.39336808,43.67214246,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/SAM_1664.JPG,/ext/pln/pops/41hazeltonavenue.jpg,,University-Rosedale,University-Rosedale (11),5808976b-8e73-4b17-903b-44a5a9d08685
"{""type"":""Point"",""coordinates"":[-79.38270367999996,43.647138170000005]}",5,5,100 Wellington Street West,100 Wellington St W,A 550 m2 pedestrian walkway.,100wellingtonsteetwest.jpg,Image of a courtyard with office buildings around the exterior.  There are trees in planters and a grassed area.,-79.38270368,43.647138170000005,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/SAM_2377.JPG,/ext/pln/pops/100wellingtonsteetwest.jpg,,Spadina-Fort York,Spadina-Fort York (10),36751abb-3368-47ce-90aa-575449aed27a
"{""type"":""Point"",""coordinates"":[-79.41808796999999,43.644033390000004]}",6,6,1001 Queen Street West,1001 Queen St W,A pedestrian walkway at CAMH.,1001queenstreetwest.jpg,Image of a grassed area with mature trees and a concrete pedestrian walkway with a building in the background.,-79.41808797,43.64403339,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/DSC_0075.jpg,/ext/pln/pops/1001queenstreetwest.jpg,,Spadina-Fort York,Spadina-Fort York (10),9cd32247-9be1-478c-8dd2-fa87f845daa1
"{""type"":""Point"",""coordinates"":[-79.38309569999996,43.64490260000002]}",7,7,123 Front Street West,123 Front St W,A parkette with landscaping and seating on Front Street West near York Street.,123frontstreetwest.jpg,"Image of a concrete pedestrian walkway between buildings.  There are also large concrete planters with flowers, bushes and trees present.",-79.3830957,43.6449026,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/SAM_1905.JPG,/ext/pln/pops/123frontstreetwest.jpg,,Spadina-Fort York,Spadina-Fort York (10),25cc727d-04c5-4450-8ee9-b40a296535fc
"{""type"":""Point"",""coordinates"":[-79.38580979,43.65062737000005]}",8,8,145 Queen Street West,145 Queen St W,A corner plaza with seating located at Queen Street West and University Avenue.,145queenstreetwest.jpg,Image of a concrete plaza in front of the Canadian Opera Company building.  There is a glass-paneled front entrance to building.,-79.38580979,43.650627369999995,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/SAM_2535.JPG,/ext/pln/pops/145queenstreetwest.jpg,,Spadina-Fort York,Spadina-Fort York (10),ca9c9e19-5b10-4f7c-9f57-fb1f8fed2b15
"{""type"":""Point"",""coordinates"":[-79.38423548999998,43.64822286000003]}",9,9,150 King Street West,150 King St W,"A 775 m2 plaza with landscaping, public art and seating located at King Street West and University Avenue.",150kingstreetwest.jpg,"Image of a pedestrian walkway between concrete planters, with a glass-paneled overhang covering the walkway.",-79.38423549000001,43.648222860000004,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/DSC_0107.jpg,/ext/pln/pops/150kingstreetwest.jpg,,Spadina-Fort York,Spadina-Fort York (10),066b2fb1-5d42-4e50-ad6c-5bfbf217788e
"{""type"":""Point"",""coordinates"":[-79.41104865,43.67602093000005]}",10,10,160 Kendal Avenue,160 Kendal Ave,A plaza at George Brown College with outdoor seating.,160kendalavenue.jpg,Image of a concrete plaza with seating and rasied planters at an entrance to George Brown College ,-79.41104865,43.67602093,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/kendal.png,/ext/pln/pops/160kendalavenue.jpg,,Toronto-St. Paul's,Toronto-St. Paul's (12),dd927bd7-8a80-4183-8fd0-5e0b5998da7a
"{""type"":""Point"",""coordinates"":[-79.36906581,43.64897939000002]}",11,11,160 The Esplanade,160 The Esplanade,A mid-block pedestrian connection from The Esplanade.,160theesplanade.jpg,Image of a concrete with paver accents courtyard including raised planters with with seasonal planters and trees.,-79.36906581,43.64897939,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/SAM_2079.JPG,/ext/pln/pops/160theesplanade.jpg,,Toronto Centre,Toronto Centre (13),350843be-a7bb-42f4-893b-154a6e996ebd
"{""type"":""Point"",""coordinates"":[-79.37877907999996,43.64652765000005]}",12,12,161 Bay Street,161 Bay St,"Garden Court is a 1,300 m2 urban parkette at Bay Street and Front Street with seating and a landscaped public art feature designed by Scott Burton.",161baystreet.jpg,"Image of a concrete plaza with granite seating arrangements, light poles and raised planter with coniferous trees.",-79.37877908,43.64652765,EXISTING,https://map.toronto.ca/emaps/images/planning/pops/thumbs/SAM_2341.JPG,/ext/pln/pops/161baystreet.jpg,,Toronto Centre,Toronto Centre (13),d303af18-9451-45bd-9201-4d50027cc7bf
