species,native,a444_Yonge,a200_Bloor_E,a76_Davenport,a130_Adelaide_W,a77_Adelaide_W,a40_King_W,a161_Bay_W,a220_Bay,a123_Front
alumroots,Y,,1,,,,,,,
broad_leaf_golden_rod,Y,,1,,,,,,,
chinese_arborvitae,N,1,,,,,,,,
chinese_juniper,N,1,,,,,,,,
christmas_fern,Y,,1,,,,,,,
common_box,N,,1,,1,1,1,1,1,1
coralberry,N,,,,,,1,,,
creeping_juniper,Y,,,1,,1,,,,
fortunes_spindle,N,,1,,1,,,1,,
garden_ladys_mantle,N,,1,,,,,,,
ginkgo,N,,,1,,,,,,
hosta,N,1,,1,,,,,,
hyssoplead_thoroughwort,N,,1,,,,,,,
ivy,N,,,,,,,1,,
japanese_barberry,N,1,,,,,,,,
japanese_yew,N,1,,1,,,,,,1
leatherleaf_viburnum,N,,1,,,,,,,
long_stalked_sedge,Y,1,,1,,,,,,
mediterranean_cypress,N,1,,,,,1,,1,
mophead_hydrangea,N,,,1,1,1,,,,
norway_maple,N,,1,,,1,,,,
oak,Y,,1,,,,,,1,
stinking_hellebore,N,,,1,,,,,,
sugar_maple,Y,1,1,,,,,,,
trailing_blackberry,Y,,1,,,,,,,
white_birch,Y,,,,,,1,,,
white_pine,Y,,,,,,,1,,
winged_euonymus,N,,1,1,,,,1,,
